DS_ITEM	count
CATETER ANGIOGRÁFICO CARDIOLÓGICO PERFORMA BRAIDED - 7531-13 - INTERNAL MAMMARY - MERIT MEDICAL COMERCIALIZAÇÃO, DISTRIBUIÇÃO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA	2
Hepatite B (quantitativo) PCR - pesquisa	2
Mucoproteínas - pesquisa e/ou dosagem	2
Colocação cistoscópica de duplo J unilateral	2
Somatomedina C (IGF1) - pesquisa e/ou dosagem	2
Renograma	2
Fator alfa necrose tumoral	2
HTLV1 ou HTLV2 pesquisa de anticorpo (cada)	2
COSENTYX - 150 MG/ML SOL INJ CT 2 SER PREENC VD TRANS X 1 ML - NOVARTIS BIOCIENCIAS S.A	2
RX - Clavícula	2
Acetilcolina, anticorpos ligador receptor	2
Osteomielite dos ossos do antebraço - tratamento cirúrgico	2
Potencial evocado auditivo de média latência (PEA-ML) bilateral	2
Potencial evocado - P300	2
Fraturas de falanges ou metacarpianos - tratamento cirúrgico com fixação	2
Anticardiolipina - IgM - pesquisa e/ou dosagem	2
Antigliadina (glúten) - IgM - pesquisa e/ou dosagem	2
Tempo de protrombina - determinação	2
Glicose-6-fosfato deidrogenase (G6FD) - pesquisa e/ou dosagem	2
Tratamento cirúrgico da fístula liquórica	2
Corpos estranhos, pólipos ou biópsia - em consultório	2
SISTEMA DE FIXAÇÃO RÍGIDA DE MEMBROS INFERIORES - BM - 3480-35-022 PARAFUSO BLOQUEADO Ø 3,5 MM X 22 MM ? HEXALOBULAR ATRIA SP - BIOMECÂNICA INDÚSTRIA E COMÉRCIO DE PRODUTOS ORTOPÉDICOS LTDA	2
PARAFUSO CORTICAL NEURO AP 1,5 X 5MM-TI-CROSS-DRIVE - REF. PA.01.03.2513	2
OPDIVO - 100 MG SOL INJ CT 1 FA VD INC X 10 ML - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA	2
Fistulectomia anal em dois tempos	2
Diástase dos retos-abdominais - tratamento cirúrgico	2
FIO DE KIRSCHNER STEINMAN IOL - PONTA DIAMANTE, COM COMPRIMENTO ATÉ 300 MM - 1.50 MM - IOL IMPLANTES LTDA	2
Western Blot (anticorpos anti-HIV) - pesquisa e/ou dosagem	2
NORIPURUM 100 MG/5 ML AMP	2
Hormônio gonodotrofico corionico qualitativo (HCG-Beta-HCG) - pesquisa	2
FIO METALICO LISO - 31020E - HEXAGON INDUSTRIA E COMÉRCIO DE IMPLANTES ORTOPÉDICOS LTDA	2
Rizotomia percutânea por segmento - qualquer método	2
INTRODUTOR PARA RADIOFREQUENCIA - ABLATON REF.RN22100-05	2
TAXA DE SALA PARA APLICAÇÃO DE MEDICAÇÃO	2
Ceratoscopia computadorizada - monocular	2
Bloqueio anestésico de plexos nervosos (lombossacro, braquial, cervical) para tratamento de dor	2
Instabilidade de microssatélites (MSI), detecção por PCR, bloco de parafina	2
Teste do pezinho ampliado (TSH neonatal + 17 OH progesterona + fenilalanina + Tripsina imuno-reativa + eletroforese de Hb para triagem de hemopatias)	2
CATETER DIAGNOSTICO SIMMONS 2 5FR 100CM REF. 5576-23	2
MICROCATETER HEADWAY REF. MC272156S	2
Incisão e drenagem da glândula de Bartholin ou Skene	2
CATETER DIAGNOSTICO ANGIOGRAFICO RADIOLOGICO - BERENSTEIN PERFORMA REF. 5592-13	2
CLIPE HEMOSTÁTICO EM TITÂNIO MÉDIO-GRANDE SLS VERDE REF.V3120-1	2
XIENCE ALPINE EVEROLIMUS ELUTING CORONARY STENT - 1120275-15 - ABBOTT LABORATÓRIOS DO BRASIL LTDA	2
Ooforectomia uni ou bilateral ou ooforoplastia uni ou bilateral	2
Toracostomia com drenagem pleural fechada	2
CONECTOR Y SCW - REF: 832901	2
Irradiação de componentes hemoterápicos	2
RX - Perna	2
KIT REFIL P/ BOMBA INF. PROGRAMAVEL - REF: 8551	2
Exploração cirúrgica de nervo (neurólise externa)	2
Isoenzimas de CPK	2
Fístula arteriovenosa - com enxerto	2
Angiotomografia venosa de tórax	2
Aconselhamento genético	2
RX - Articulação acromioclavicular	2
KIT CANULA DE DISCECTOMIA PERCUTANEA L - REF. 921080100	2
CUSTODIOL 1000 ML SOLUÇÃO	2
IgE, grupo específico, cada - pesquisa e/ou dosagem	2
Colocação de stent para tratamento de obstrução arterial ou venosa	2
KIT INTRODUTOR DE CATETER ANNTOM - ZAREK DISTRIBUIDORA DE PRODUTOS HOSPITALARES EIRELI	2
Amplificação do material genético (por PCR, PCR em tempo Real, LCR, RT-PCR ou outras técnicas), por primer utilizado, por amostra	2
Terapia de pressão negativa - ambulatorial	2
Procedimento diagnóstico em citologia hormonal isolada	2
Angioplastia transluminal da aorta ou ramos ou da artéria pulmonar e ramos (por vaso)	2
Implante de prótese intravascular na aorta/pulmonar ou ramos com ou sem angioplastia	2
Dengue, anticorpos IgM, soro (teste rápido)	2
TENOTOMIA OU TENODES DO BÍCEPS E ACROMIOPLASTIA COM RESSECÇÃO PARCIAL DA CLAVÍCULA	2
ANCORA ANCHORFIX 5,0 SD-TI 2 SUTURAS USP 2 N/ ABS - REF: 0112115-025	2
CATETER DE DILATAÇÃO PTA REVESTIDO COM PACLITAXEL FREEWAY - VR MEDICAL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS MÉDICOS LTDA	2
RADIFOCUS OPTITORQUE CATETER ANGIOGRAFICO - TERUMO - RH*BH15110M - TERUMO MEDICAL DO BRASIL LTDA.	2
FAMÍLIA DE PARAFUSOS PARA PEQUENOS E GRANDES FRAGMENTOS - BM - 3489-35-014 - PARAFUSO CORTICAL Ø 3.5 MM X 14 MM ? HEXALOBULAR - BIOMECÂNICA INDÚSTRIA E COMÉRCIO DE PRODUTOS ORTOPÉDICOS LTDA	2
RM - Face (inclui seios da face)	2
Exérese de lesão da mama por marcação estereotáxica ou roll	2
Dengue, anticorpos IgG, soro (teste rápido)	2
CATETER DE DILATAÇÃO ZENFLOW TIGERTM LD PTA - ZWL1440110 - GF MEDIKA IMPORTAÇÃO E EXPORTAÇÃO LTDA	2
Osteocondroplastia - estabilização, ressecção e/ou plastia #  - procedimento videoartroscópico de joelho	2
DIÁRIA COMPACTA DE HOSPITAL DIA ENFERMARIA	2
Iodo protéico (PBI) - pesquisa e/ou dosagem	2
Laparotomia exploradora, ou para biópsia, ou para drenagem de abscesso, ou para liberação de bridas em vigência de oclusão por videolaparoscopia	2
Hipospadia proximal - tratamento em 1 tempo - tratamento cirúrgico	2
SISTEMA PARA OSTEOSSÍNTESE NEOFIX - PEQUENOS E GRANDES FRAGMENTOS - 901.034 - PARAFUSO LOCKING STAR HEAD D3.5X24MM - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
Tumor vesical - ressecção endoscópica	2
CALQUENCE - 100 MG CAP DURA CT BL AL AL X 60 - ASTRAZENECA DO BRASIL LTDA	2
Lesões ligamentares agudas ao nível do tornozelo - tratamento cirúrgico	2
SISTEMA DE FIXAÇÃO DE PLACAS ESPECIAIS E PARAFUSOS BLOQUEADOS PARA MINI E MICRO FRAGMENTOS NEOORTHO - 901.350 - PARAFUSO MINI LOCKING D2.7X26 MM - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
Lobectomia pulmonar por videotoracoscopia	2
Descorticação pulmonar por videotoracoscopia	2
SISTEMA PARA OSTEOSSÍNTESE NEOFIX - PEQUENOS E GRANDES FRAGMENTOS - 903.037 - PARAFUSO CORTICAL STANDARD STAR HEAD D3.5X26MM - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
Terapia medicamentosa injetável ambulatorial	2
ELETRODO ENDOCÁRDICO DE FIXAÇÃO ATIVA CONDICIONAL PARA RESSONÂNCIA MAGNÉTICA (PROMRI) - SOLIA S 60 - BIOTRONIK COMERCIAL MÉDICA LTDA.	2
SISTEMA DE PLACAS ESPECIAIS PARA MEMBROS SUPERIORES NEOFIX - 900.101 - PLACA LS DISTAL DE ÚMERO PÓSTERO LATERAL 3 FUROS DIREITA - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
ELETRODO ENDOCÁRDICO DE FIXAÇÃO ATIVA CONDICIONAL PARA RESSONÂNCIA MAGNÉTICA (PROMRI) - SOLIA S 53 - BIOTRONIK COMERCIAL MÉDICA LTDA.	2
EDORA/EVITY - MARCAPASSO CARDÍACO IMPLANTÁVEL DE CÂMARA DUPLA CONDICIONAL PARA RESSONÂNCIA MAGNÉTICA (FULLBODY) - EVITY 6 DR-T (407149) - BIOTRONIK COMERCIAL MÉDICA LTDA.	2
INTRODUTOR LI PLUS G - BIOTRONIK COMERCIAL MÉDICA LTDA.	2
Imunofenotipagem para leucemias agudas ou sindrome mielodisplásica (*)	2
PET dedicado oncológico	2
SISTEMA DE FIXAÇÃO DE PLACAS ESPECIAIS E PARAFUSOS BLOQUEADOS PARA MINI E MICRO FRAGMENTOS NEOORTHO - 901.347 - PARAFUSO MINI LOCKING D2.7X20 MM - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
SISTEMA DE FIXAÇÃO DE PLACAS ESPECIAIS E PARAFUSOS BLOQUEADOS PARA MINI E MICRO FRAGMENTOS NEOORTHO - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
SULFATO DE VINCRISTINA - 1 MG/ML SOL INJ CT 20 FA VD AMB X 1 ML - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA	2
Análise de DNA com enzimas de restrição por enzima utilizada, por amostra	2
Correção da hipertrofia mamária - unilateral	2
Colectomia parcial sem colostomia	2
PCT HEMODERIVADOS - BOLSA DE PLAQUETAS AFERESE	2
SISTEMA DE PLACAS ESPECIAIS PARA MEMBROS SUPERIORES NEOFIX - 900.113 - PLACA LS DISTAL DE ÚMERO MEDIAL 5 FUROS DIREITA - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
SISTEMA DE PLACAS ESPECIAIS PARA PEQUENOS E GRANDES FRAGMENTOS NEOFIX - 903.044 - PARAFUSO CORTICAL STANDARD STAR HEAD D3.5X40 MM - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
Nefrectomia parcial laparoscópica unilateral	2
Herniorrafia inguinal - unilateral por videolaparoscopia	2
ELETRODO BIPOLAR DESCARTÁVEL - 46300223 - RICHARD WOLF BRASIL EQUIPAMENTOS MEDICINAIS LTDA	2
GRAMPEADOR ENDOSCOPIO HERNIA SECURESTRAP 12 REF. STRAP12	2
SISTEMA DE DRENAGEM MEDIASTINAL/PLEURAL LAC MEDICAL - CIRURGICA BRASIL COMERCIAL E IMPORTADORA LTDA	2
CATETER DE LONGA PERMANÊNCIA PARA HEMODIÁLISE E AFÉRESE - HFS24E - MEDCORP HOSPITALAR LTDA	2
PLACA DISTAL DE CLAVICULA BLOQUEADA 3X3 ESQUERDA - REF: 271624	2
Biópsia hepática por videolaparoscopia	2
CIMENTO ÓSSEO HI-FATIGUE - 00-1120-140-01: CIMENTO ÓSSEO HI-FATIGUE 1X40G - BIOMET 3I DO BRASIL COMERCIO DE APARELHOS MEDICOS LTDA	2
CÂNULA DE ACESSO URETERAL BI-FLEX - ROUS1045ST - INMED COMERCIO DE MATERIAIS HOSPITALARES LTDA	2
Microneurólise múltiplas	2
IRRIGOPLASS 4 VIAS	2
Doppler colorido intra-operatório	2
ANGIOJET? ZELANTEDVT? - BOSTON SCIENTIFIC DO BRASIL LTDA	2
GRAMPEADOR LINEAR CORTANTE - REF: TLC75	2
CATETER ANGIOGRÁFICO CARDIOLÓGICO PERFORMA BRAIDED - 7527-13 - AMPLATZ LEFT - MERIT MEDICAL COMERCIALIZAÇÃO, DISTRIBUIÇÃO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA	2
PCT - EPISTAXE (CAUTERIZAÇÃO +TAMPONAMENTO)	2
OLIMEL - (14,2 + 27,5 + 20) G/L EMUL INJ IV BOLS PLAS INC FLEX X 1000 ML   - BAXTER HOSPITALAR LTDA	2
INTRODUTOR PARA ALÍVIO DA DOR RADIMED PRÓ - SET FREE SOLUÇÕES COMERCIAIS EIRELI	2
SISTEMA PARA OSTEOSSÍNTESE NEOFIX - PEQUENOS E GRANDES FRAGMENTOS - 901.035 - PARAFUSO LOCKING STAR HEAD D3.5X26MM - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
SISTEMA PARA OSTEOSSÍNTESE NEOFIX - PEQUENOS E GRANDES FRAGMENTOS - 901.041 - PARAFUSO LOCKING STAR HEAD D3.5X36MM - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
Visita de assistente social	2
Traqueostomia com colocação de órtese traqueal ou traqueobrônquica por via cervical	2
DRENO DE SUCCAO COM AGULHA 4.8MM	2
TELA INORGANICA DE POLIPROPILENO ABDOTEX 30 X 30 CM	2
HER2 FISH para amplificação gênica em tumor de mama	2
EQUIPO DE IRRIGAÇÃO RZ PUMP ATX - REF. 742470400	2
US - Próstata (via abdominal)	2
AVITENE PÓ - 1010010/0.5 G (PRODUTO ESTERILIZADO POR CALOR SECO) - BARD BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA A SAÚDE LTDA.	2
Mastectomia simples	2
Broncoplastia e/ou arterioplastia	2
Histerectomia total - via vaginal	2
PATCH DE PERICARDIO BOVINO - BRAILE BIOMEDICA INDUSTRIA COMERCIO E REPRESENTACOES LTDA	2
RX - Costelas - por hemitórax	2
Retirada de dreno tubular torácico (colocado em outro serviço)	2
CANULA DE MICRODEBRIDAÇÃO RAZEK ¿ AMC 2,4/4,5 L REF.891650000	2
SISTEMA PARA OSTEOSSÍNTESE NEOFIX - PEQUENOS E GRANDES FRAGMENTOS - 901.033 - PARAFUSO LOCKING STAR HEAD D3.5X22MM - NEOORTHO PRODUTOS ORTOPÉDICOS S/A	2
CÂNULA DE ACESSO URETERAL BI-FLEX - ROUS1035ST - INMED COMERCIO DE MATERIAIS HOSPITALARES LTDA	2
BUNDLE MANOMETRIA ESOFÁGICA SEM TESTE PROVOCATIVO	2
Campimetria manual - monocular	2
TROCATER ENDOPATH D12LT 12MM	2
Ooforectomia laparoscópica uni ou bilateral ou ooforoplastia uni ou bilateral	2
BASE TIBIAL Nº02 - REF: 04.14.08.00002	2
Avidez de IgG para toxoplasmose, citomegalia, rubéloa, EB e outros, cada - pesquisa e/ou dosagem	2
Fístula orofacial - tratamento cirúrgico	2
Ureterólise laparoscópica unilateral	2
TRATAMENTO FISIOTERAPÊUTICO PELO PROTOCOLO PEDIASUIT - MÓDULO I (SESSÃO DE 4H)	2
CATETER DRENAGEM MEDIASTINAL INFANTIL 1000ML - REF: 101994	2
Catecolaminas - pesquisa e/ou dosagem	2
Vitamina B3, pesquisa e/ou dosagem	2
RX - Coluna dorsal - 2 incidências	2
Paracentese abdominal	2
MESILATO DE IMATINIBE - 400 MG COM REV CT BL AL PLAS INC X 30 - EUROFARMA LABORATÓRIOS S.A.	2
Consulta individual domiciliar de fonoaudiologia	2
Punção ou biópsia mamária percutânea por agulha fina orientada por US (não inclui o exame de base)	2
Hipertrofia dos pequenos lábios - correção cirúrgica	2
Coombs direto	2
Excisão de pólipo cervical	2
TROCARTES CIRÚRGICOS ENDOPATH XCEL - D5LT - JOHNSON & JOHNSON DO BRASIL INDÚSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA	2
Antígenos de aspergillus galactomannan	2
KIT DE DISPOSITIVO DE INFLAÇÃO ANGIOPOWER - VR MEDICAL IMPORTADORA E DISTRIBUIDORA DE PRODUTOS MÉDICOS LTDA	2
FORNECIMENTO DE MATERIAIS E MEDICAMENTOS PARA PACIENTES ASSISTIDOS PELO SAD (SUPORTE DE ASSISTENCIA DOMICILIAR)	2
NAVELBINE 50MG FRC	2
RX - Abdome simples	2
Histerectomia total laparoscópica	2
CONECTOR EM Y - TOTAL LIFE COMERCIO DE PRODUTOS MEDICO-HOSPITALAR LTDA-EPP	2
SYNAGIS - 100 MG/ML SOL INJ CT FA VD INC X 1,0 ML - ABBVIE FARMACÊUTICA LTDA.	2
SISTEMA DE PLACAS ESPECIAIS DE GRANDES E PEQUENOS FRAGMENTOS FIXAÇÃO RÍGIDA ORTOSINTESE - 1403 - PARAFUSO CORT CABEÇA ROSQ Ø 3,5X16MM - ORTOSINTESE INDUSTRIA E COMERCIO LTDA	2
DIÁRIA DE ISOLAMENTO DE APARTAMENTO STANDARD	2
US - Torácico extracardíaco	2
PLACA E PARAFUSO ALCP DE FIXAÇÃO RÍGIDA - 1365 PARAFUSO CORTICAL AUTO ROSQUEANTE 3,5 X 18 - ORTOSINTESE INDUSTRIA E COMERCIO LTDA	2
TROCATER VERSAONE COM LÂMINA 11 MM - REF: B11STF	2
Angiotomografia venosa de crânio	2
CATETER DRENAGEM MEDIASTINAL ADULTO 2000ML - REF: 62567	2
RX - Braço	2
Cintilografia das paratireóides	2
ENXERTO OSSEO BAUMER - INTEGRAL-ORTHOGEN MEDICAL - REF. 947.B1.082030	2
Doppler colorido peniano com fármaco-indução	2
RX - Coluna cervical - 5 incidências	2
Lactose, teste de tolerância	2
SISTEMA CIRURGICO ULTRASSONICO BISTURI TIPO TESOURA REF.SS9	2
Cateterismo cardíaco E e/ou D com cineangiocoronariografia e ventriculografia	2
Linfadenectomia pélvica laparoscópica	2
Retirada endoscópica de cálculo de ureter unilateral	2
Dilatação uretral (sessão)	2
MANIPULADOR UTERNO DESCARTAVEL L 38 X 323MM - REF: MA05003	2
Material descartável (kit) e soluções para utilização de processadora automática de sangue / auto transfusão intra-operatória	2
CATETER DUPLO J COM FIO GUIA HIDROFÍLICO - USI-626-RPC - HANDLE COMERCIO DE EQUIPAMENTOS MEDICOS S.A.	2
Osteotomia ou pseudartrose do tarso e médio pé - tratamento cirúrgico	2
Antígeno carcinoembriogênico (CEA) - pesquisa e/ou dosagem	2
Quadrantectomia - ressecção segmentar - em mama	2
PCT - CORPOS ESTRANHOS, POLIPOS OU BIOPSIAS (EM CONSULTORIO)	2
CATETER TIPO DORMIA NITINOL - NTSE-022115-UDH - HANDLE COMERCIO DE EQUIPAMENTOS MEDICOS S.A.	2
Tenodese	2
COMPONENTE FEMORAL EP 4 ESQUERDO REF. 0313010-401	2
Cirurgia de restauração venosa com pontes em cavidades	2
Transposição de mais de 1 tendão - tratamento cirúrgico	2
FIO-GUIA HI-WIRE E BI-WIRE COM NÚCLEO NITINOL E REVESTIMENTO HIDROFILICO - HW-035150 (FIO-GUIA HIWIRE) - HANDLE COMERCIO DE EQUIPAMENTOS MEDICOS S.A.	2
Laparotomia exploradora, ou para biópsia, ou para drenagem de abscesso, ou para liberação de bridas em vigência de oclusão	2
Entero-anastomose  (qualquer segmento)	2
NINLARO - 4 MG CAP DURA CT BL AL AL X 3 - TAKEDA PHARMA LTDA.	2
Implante intravítreo de polímero farmacológico de liberação controlada	2
Hidrocele unilateral - correção cirúrgica	2
Histerectomia total laparoscópica ampliada	2
TUBO DE VENTILACAO MEDICONE 1011 SHEPARD - MEDICONE PROJETOS E SOLUÇÕES PARA A INDÚSTRIA E A SAÚDE LTDA	2
PLACA T OSTEOTOMIA TIBIA BLOQUEAVEL REF 33934	2
ALKERAN - 2 MG COM REV CT FR VD AMB X 25 - ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA	2
Detecção intraoperatória radioguiada de lesões tumorais	2
Tireoidectomia total	2
CAPECITABINA - 150 MG COM REV CT BL AL PVC OPC X 30 - SUN FARMACÊUTICA DO BRASIL LTDA	2
RM - Coxa (unilateral)	2
Consulta hospitalar em fisioterapia	2
Vasectomia unilateral	2
Cirurgia de esterilização feminina (laqueadura tubárica convencional)	2
RM - Multiparamétrica transretal da próstata	2
Hepatite B - HBCAC - IgM (anti-core IgM ou Acorem) - pesquisa e/ou dosagem	2
Implante de dispositivo intra-uterino (DIU) não hormonal - inserção	2
CIRURGIA BARIÁTRICA (QUALQUER TÉCNICA)  - PACOTE HM	2
Fungos, pesquisa de (a fresco lactofenol, tinta da China)	2
RECARGA ENDOMARLEX PARA GRAMPEADOR ENDOMARLEX LINEAR CORTANTE ENDOSCÓPICO - MB INDUSTRIA E COMÉRCIO DE PRODUTOS PARA SAÚDE LTDA	2
Renina - pesquisa e/ou dosagem	2
RX - Panorâmica de mandíbula (ortopantomografia)	2
Aldosterona - pesquisa e/ou dosagem	2
Capacidade de ligação da vitamina B12	2
Doenças pulmonares atendidas em ambulatório	2
Sinusotomia esfenoidal	2
Glicoproteína Beta 2, anticorpos, IgG	2
Timpanoplastia com reconstrução da cadeia ossicular	2
Expansão tissular (por sessão)	2
Sinusotomia frontal intranasal	2
Testes vestibulares, com vecto-eletronistagmografia	2
Retração de aponevrose palmar (Dupuytren) - tratamento cirúrgico	2
TROCATER OTICO VERSAPORT BLADELESS 11MM - REF: ONB11STF	2
Chlamydia por biologia molecular - pesquisa	2
PCT - AMIGDALECTOMIA	2
Epilação	2
CATETER DIAGNOSTICO ANGIOGRAFICO RADIOLOGICO - SIMM0NS PERFORMA - 5576-23 - BIOMEDICAL PRODUTOS CIENTIFICOS MEDICOS E HOSPITALARES S A	2
COSENTYX - 300 MG SOL INJ CT 1 SER PREENC VD TRANS X 2 ML + 1 CAN APLIC - NOVARTIS BIOCIENCIAS S.A	2
Genotipagem do sistema HLA	2
KADCYLA - 160 MG PO LIOF SOL INJ IV CT FA VD TRANS - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.	2
Acromioplastia - procedimento videoartroscópico de ombro	2
Simpatectomia por videotoracoscopia	2
CATETER DIAGNOSTICO ANGIOGRAFICO RADIOLOGICO - BERENSTEIN PERFORMA - 5592-13 - BIOMEDICAL PRODUTOS CIENTIFICOS MEDICOS E HOSPITALARES S A	2
MICROCATETER HEADWAY - ENDOTEC PRODUTOS MÉDICOS LTDA	2
Iridectomia (laser ou cirúrgica)	2
Plástica do freio bálano-prepucial	2
STENT CORONARIO FARMACOLOGICO 3,0X28MM- REF: 1120300-28	2
CUTANPLAST - ESPONJA DE GELATINA HEMOSTATICA - FILM - MEDICALTEC LTDA	2
Fratura de metacarpiano - tratamento conservador	2
Peptídeo natriurético BNP/PROBNP - pesquisa e/ou dosagem	2
TAXA FIBRA A LASER DESCARTAVEL HANDLE - REF: HLF-S273-CNV	2
Exame de motilidade ocular (teste ortóptico) - binocular	2
Endoscopia digestiva alta com biópsia e teste de urease (pesquisa Helicobacter pylori)	2
Tenólise/tendonese - tratamento cirúrgico	2
ENDOBOTON 12,5 X 4,5 X 1MM C/ FIO 20MM - REF: 306.00.000020	2
RADIFOCUS OPTITORQUE CATETER ANGIOGRAFICO - TERUMO - RH*5MP2520M - TERUMO MEDICAL DO BRASIL LTDA.	2
BROCA REDONDA DIAMANTADA P/ MIDAS LEGEND (FRESA) REF. 10BA20D	2
SESSÃO INDIVIDUAL AMBULATORIAL DE FONOAUDIOLOGIA - MÉTODO PECS	2
LAMINAS CIRURGICAS - ACF - LAS - LATIM AMERICAN SOLUTIONS IMPORTACAO E EXPORTACAO LTDA.	2
DISPOSITIVO INTERSOMATICO CERVICAL DICOM PEEK C/FLAP 6,0 MM REF. 30.029.10060	2
MATRIZ REGENERADORA DURAMATER 5 X 5 (DURADRY ESPONJAS) - REF. 5 X 5 X 0,4CM	2
FIO TIPO KIRSCHNNER LISO PONTA TRIANGULAR 1,5MM X 300MM - REF: 5401-150-300	2
Hérnia de disco cervical - tratamento cirúrgico	2
PESQUISA DE EXPRESSÃO DE PD-L1 POR IMUNOHISTOQUIMICA	2
Gordura fecal, pesquisa de	2
PCT - ADENO	2
Linfadenectomia axilar	2
Dermatoscopia (por lesão)	2
Determinação da filtração glomerular	2
Prostatavesiculectomia radical laparoscópica	2
INTRODUTOR RADIFOCUS INTRODUCER II COM GUIA METÁLICA E AGULHA - RS*R70N10MQ - TERUMO MEDICAL DO BRASIL LTDA.	2
BOLSA COLETORA DE ESPÉCIME DESCARTAVEL ENDO CATH II 10MM IMP.- REF: 173050G	2
IT EURO EXTRACT CANULA DE DESCOMPRESSÃO INTRADISCAL TORACOLOMBAR REF.005	2
PCT - TURBINECTOMIA TURBINOPLASTIA UNILATERAL	2
SISTEMA PARA ARTROPLASTIA DE JOELHO COM RESTRIÇÃO REF.0314110-312	2
PATELA 03 PINOS DIAM.35 REF 0314300-035	2
Angioplastia transluminal percutânea	2
CLORIDRATO DE GENCITABINA - 1000 MG PO LIOF INJ CT FA VD INC X 50 ML - ACCORD FARMACÊUTICA LTDA	2
PCT - Antrostomia + Uvulo + Turbi + AMIGDALA + SEPTO	2
Anticorpos antipneumococos	2
DIÁRIA DE  QUARTO COLETIVO DE 2 LEITOS DA MATERNIDADE COM BANHEIRO PRIVATIVO	2
INTRODUTOR RADIFOCUS INTRODUCER II COM GUIA PLÁSTICA, CATETER DE ACESSO E AGULHA - RS*A11K10SQ - TERUMO MEDICAL DO BRASIL LTDA.	2
Imunofenotipagem de subpopulações linfocitárias - Citômetro de Fluxo	2
Bilirrubinas (direta, indireta e total) - pesquisa e/ou dosagem	2
HALLUFIX PG RAZEK - 500130400 - PARAFUSO HALLUFIX PG RAZEK - D3,0 X 34 - RAZEK EQUIPAMENTOS LTDA ME	2
Enxerto composto	2
FRESA CIRURGICA RAZEK - REF. 730080005 BRD70H (1,8)	2
CATETER ANGIOGRÁFICO CARDIOLÓGICO PERFORMA BRAIDED - 7533-23 - MULTIPURPOSE - MERIT MEDICAL COMERCIALIZAÇÃO, DISTRIBUIÇÃO, IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS HOSPITALARES LTDA	2
Endarterectomia ilíaco-femoral	2
Avaliação endoscópica da deglutição (FEES)	1
PCT - FRENOTOMIA LINGUAL	1
Terapia oncológica com aplicação de medicamentos por via intracavitária ou intratecal  - por procedimento	1
FAULDMETRO - 25 MG/ML SOL INJ CT 5 FA VD INC X 2 ML - LIBBS FARMACÊUTICA LTDA	1
Abscesso faríngeo - qualquer área	1
DIÁRIA DE  APARTAMENTO LUXO	1
Consulta ambulatorial de enfermagem	1
PCT - ABSCESSO FARÍNGEO (QUALQUER AREA)	1
Drenagem percutânea de coleção infectada abdominal	1
DECADRON - 4MG/ML SOL INJ CT 1 FA X 2,5 ML - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A	1
PO HEMOSTATICO ABSORVIVEL BLEED STP 1GR	1
CATETER GUIA PARA ANGIOPLASTIA MEDTRONIC - LA5AL10 - MEDTRONIC COMERCIAL LTDA	1
DIÁRIA DE  HOSPITAL DIA APARTAMENTO	1
PCT - AVALIAÇÃO FONOAUDIOLÓGICA PRÉ OPERATÓRIA - IMPLANTE COCLEAR, BONEBRIDGE E/OU PONTO - PACOTE HIORP	1
TRATAMENTO FISIOTERAPÊUTICO PELO PROTOCOLO PEDIASUIT - MÓDULO II (SESSÃO DE 2H)	1
EMPRO-SISTEMA DE PROTEÇÃO EMBÓLICA - ENDOTEC PRODUTOS MÉDICOS LTDA	1
Exérese de cisto tireoglosso	1
BIO-OSS - BIO-OSS 2G (TAMANHO DO GRÂNULO: 1MM ? 2MM) - GEISTLICH PHARMA DO BRASIL COMERCIO E SERVIÇOS DE PRODUTOS PARA SAUDE LTDA	1
CÂNULAS AMIU IPAS ENGATE RÁPIDO - SR6 CÂNULA IPAS ENGATE RÁPIDO - DKT DO BRASIL PRODUTOS DE USO PESSOAL LTDA	1
KIT CANULA SIMPLE BLOCK - SBK2115 - BRAMSYS INDÚSTRIA E COMÉRCIO LTDA	1
COMPONENTE TIBIAL MODULAR DE JOELHO - 177.34.12 - AKS MODULAR BLOQUEADO - BAUMER S.A.	1
COMPONENTE TIBIAL MODULAR CIMENTADO DE JOELHO - 154.3 - AKS MODULAR - BAUMER S.A.	1
